lambda,I
834.592
827.326
816.464
752.464
725.328
719.566
716.881
642.811
639.947
632.706
629.942
628.539
623.839
622.481
620.118
619.939
618.299
616.160
613.539
612.179
609.822
609.596
608.078
606.999
606.328
603.190
602.798
602.127
601.829
600.282
599.406
597.544
594.989
593.862
593.137
588.817
587.850
584.932
583.613
582.276
581.259
580.610
577.505
573.688
573.192
572.855
568.919
565.575
563.481
561.254
559.764
555.253
553.747
551.847
