lambda,I
586.47
565.31
556.41
548.55
522.83
514.88
507.66
501.27
495.79
470.92
465.18
459.97
455.41
451.59
449.03
427.81
423.65
419.91
416.68
414.05
391.44
388.43
385.79
383.54
381.81
358.21
356.39
354.89
353.83
353.26
330.80
329.87
329.34
